course_id,title,description,credits,prerequisites,moed_a,moed_b,general_rating,workload_rating,all_reviews,avg_grades
094101,00940101 - מבוא להנדסת תעשיה וניהול,"חיפוש קבוצה בפייסבוק
סריקות מבחנים
קבוצת וואטסאפ/טלגרם

הקורס מציג את מכלול הנושאים בהם מטפל מהנדס תעשיה וניהול תוך הדגשת הנושא של שילוב מערכות בתחומי תכון מוצרים ושירותים, תכון מערכי ייצור ושירות, תכון מערכות מידע, ניהול של שרשרות אספקה, מערכי שירות ועוד. יסקרו שיטות ומודלים בסיסיים כלים לקבלת החלטות וכלי תוכנה התומכים ביישום. לקורס יהיה פרויקט מלווה.",2.5,[],03-02-2026,05-03-2026,3.5,2.0,"שם המרצה: אסף
חוות דעת - הרצאות: כל שבוע הרצאה עם נושא חדש, מדברים על נושאים ודנים בהם, מרענן את השבוע מאלגברה ודיסקרטית. הרצאות שמדברות תכלס על התפקיד בתעשייה, אחלה לסמסטר ראשון.

שם המתרגל/ת: נחמיה
חוות דעת - תרגולים: אין על נחמיה, חבל שלא יצא לנו ללמוד איתו בלייב.

שעורי הבית: כל שבוע עבודה קלילה בזוגות, בסוף הסמסטר מעבדת רובוטיקה (גם בזום).
* את הציון של העבודות תהיו מוכנים לקבל אחרי הציון של המבחן

המבחן: הזכיר לי נשכחות של מבחנים מימי התיכון

השורה התחתונה: אחלה קורס, מעלה ממוצע לסמסטר ראשון, ומעשיר את הידע לגבי התחומים של מהנדס תעשייה בעתיד
כללי
עומס
---
שם המרצה: אסף
חוות דעת - הרצאות: כל שבוע מדברים על נושא אחר. ממש נהניתי בהרצאות! אחלה הפוגה משאר הקורסים היותר מתמטיים במהלך השבוע. אסף מרצה מעולה ורואים שאכפת לו מהקורס ושהוא אוהב את התחום.

שם המתרגל/ת: נחמיה
חוות דעת - תרגולים: לא הלכתי לתרגולים האמת, הספיק לי לעבור על המצגת והפתרונות בבית.

שעורי הבית: גיליון להגשה כל שבוע בזוגות/יחידים. לא קשה במיוחד :)

המבחן: אני כן חושבת שהיה מבחן הוגן מבחינת רוב השאלות שנשאלו בו והם הצליחו לכסות כמעט את כל החומר הנלמד. עם זאת, היו לא מעט סעיפים טריקיים ומבלבלים ועיקר הבעיה היה הזמן. פשוט יותר מדי שאלות וסעיפים למבחן של שעתיים כך שהרבה אנשים אפילו לא הספיקו חלק מהמבחן. אפשר להביא דף נוסחאות אישי שמכינים לבד אז גם ההכנה שלו עוזרת לעבור על החומר.

השורה התחתונה: אחלה קורס לסמסטר ראשון. תעברו על המצגות לפני המבחן ועל שאלות ממבחני עבר ותוסיפו לדף נוסחאות כל דבר שנראה לכם רלוונטי ותהיו בסדר :)
כללי
עומס
---
שם המרצה: אסף
חוות דעת - הרצאות: נוכחות חובה

שם המתרגל/ת: נחמיה
חוות דעת - תרגולים: לא הכרחי להבנת החומר

שעורי הבית: תואם לרמת המבחן

המבחן: כל החומר הנלמד בתרגולים הצליח להכנס למבחן של שעתיים אז כדאי לעקוב אחרי מה לומדים במהלך הסמסטר

השורה התחתונה: אפשרי וסביר, ניתן ללמוד גם בלי להגיע להרצאות או לתרגולים פרט לעניין הנוכחות החובה
כללי
עומס
---
שם המרצה: אסף (איירון מן) אברהמי
חוות דעת - הרצאות: תתכוננו לזה שרוב הזמן אסף מדבר על עצמו ועל כמה הוא תותח. את החומר הוא לרוב מעביר מהמצגת. יש שאלת שבוע כל שבוע ככה שלפעמים זה כן מתפתח לשיח נחמד, תלוי כמה הוא נותן לזה מקום וזמן. הנוכחות חובה אז אין יותר מדי ברירה. לנו זה היה פתיחת שבוע חמודה ולא מעבר. תשתדלו כן להשתתף בשביל העוד כמה נקודות האלה בסוף הקורס (ושיזכור את השם שלכם), ותעשו את המצגת 5 דק' שמוסיפה נקודות חינם לציון הסופי.

שם המתרגל/ת: נחמיה ירון
חוות דעת - תרגולים: נחמיה לא באמת יודע ללמד, עד היום לא ברור לי מה ההשכלה/המקצוע שלו. כדי למלא את כל השעה שיש לו הוא פשוט פותר את השאלה מהמצגת על הלוח (מה שמופיע בשקופית הבאה אשכרה), וגם יש במודל פתרונות לתרגולים שלו כקובץ ולא רק כמצגת. התרגולים אצלנו לא היו חובה וגם הם תקעו אותם ב6 בערב אז אף אחד לא הלך. בקיצור- מיותר.

שעורי הבית: כל שבוע, ממוחזרים רצח. אפשר לרפרנס אבל אפשר בכיף גם לפתור אותם לבד (או בזוגות) כדי לוודא הבנה של החומר השבוע (כאמור- כל שבוע נושא אחר לגמרי בקורס). תתכוננו נפשית לזה שהוא לא מחזיר ציונים על המטלות עד המבחן (תנסו להציק לו ולאסף על זה במהלך הסמסטר יותר).

המבחן: בעיקרון אמור להיות מבחן מתנה אם לומדים אליו באמת. לא לזלזל כי זה באסה לקבל ציון גרוע (או לא לעבור) מבחן שיכול ללכת סבבה לגמרי, לעומת השאר בסמסטר הזה. מה שכן- אצלנו הם יצאו מניאקים קצת. הם ניסו לדחוס את כל החומר של הקורס במבחן אחד ככה שכל סעיף לקח נצח ואנשים לא הספיקו לענות על כל המבחן (שעתיים). במבחני עבר זה לא היה ככה (וגם הם לא הסכימו לפרסם את המבחן של שנה שעברה והפתרון). וגם היו בעיות בניסוחים. סהכ כל הבעיות התנקזו ל5 נק פקטור שטרחו לתת, מקווה שיהיו יותר הוגנים להבא.

השורה התחתונה: החומר עצמו לא מאוד קשה, אבל כן מורכב מהרבה נושאים שכל אחד עומד בפני עצמו וכדאי לשים לב לכולם. סהכ קורס חביב, נותן סיפתח (קלוש אבל נותן) לתואר. תתעקשו על דברים שמגיע לכם לקבל ותזרמו עם ההנפצות שלהם (סיור מיותר, סדנת הדפסת תלת מימד, עבודה על התוכנה שאסף המציא וכו')
כללי
עומס
---
שם המרצה: פרופסור אסף אברהמי
חוות דעת - הרצאות: אסף מדבר על עצמו בקטע שכבר גורם אי נוחות

שם המתרגל/ת: נחמיה ירון
חוות דעת - תרגולים:
חחחחח
שעורי הבית:
תקוע בין כל שאר המטלות האמיתיות, לא כזה קריטי להתעמק במהלך הסמסטר אפשר להעזר ברפרנסים.
המבחן:
לקחת 4 ימים לפני לחרוש רק על זה ואז מוציאים ציון טוב
השורה התחתונה: קורס מבאס אין מה לעשות. הנושאים עצמם סופר מענינים ובהתחלה של כל נושא יש פוטנציאל שבאמת יהיה מעניין, אבל ... אסף ונחמיה... זה לא קורס אמיתי ותנסו להתכונן נפשית לכל הדברים שהם תוקעים במהלך הסמטסר(חשבשבת, סדנה,פרויקטון)
כללי
עומס
---
שם המרצה: פרופ' מנכ""ל קצין בדימוס וגיבור המולדת אסף אברהמי
חוות דעת - הרצאות: תכלס, חוץ מזה שהוא מתנשא, זה דיי אחלה, צריך להקשיב כי יש שאלה על מה שהוא מדבר במבחן. לפעמים יש הרצאות אורח שיכולות להיות אחלה, הדברים באמצע (תכ""ן וחשבשבת) חרטא לגמרי. בסוף חמוד, אמור להעלות ציון בסמסטר א'

שם המתרגל/ת: נחמיה ""זה אינטואיטיבי"" ירון
חוות דעת - תרגולים: חמוד, בסוף זה החלק האמיתי של הציון, מומלץ לראות את המצגות ואם לא הבנתם לבוא.

שעורי הבית: חרטא, פעם בשבוע שעה גג בזוגות

המבחן: הוגן, כאילו החומר לפעמים ממש לא מרגיש חשוב אבל צריך להבין את מה שרוצים ממך.

השורה התחתונה: אין בחירה אז בואו, בראשון זו אחלה דרך לפתוח שבוע בכיף
כללי
עומס
---
שם המרצה: אסף אברהמי
חוות דעת - הרצאות: נוכחות חובה. בגדול נחמד לפתוח ככה את יום ראשון ולא בקורסים של מתמטיקה. אסף מת על עצמו ובעיקר מדבר עליו ועל החברה שלו בהרצאות.

שם המתרגל/ת: נחמיה ירון
חוות דעת - תרגולים: מפסיקים ללכת אחרי התרגולים הראשונים, לא חובה

שעורי הבית: העתק הדבק מהמצגת של התרגול, אבל מעיק שיש שיעורי בית בזה פעם בשבוע כי לפעמים זה גוזל זמן.

המבחן: המבחן השנה היה ארוך וקשה מאוד ביחס לשנים קודמות. לא היה הוגן.

השורה התחתונה: קורס חמוד, לא צריך להשקיע יותר מידי חוץ מהשיעורי בית כל שבוע.
כללי
עומס
---
שם המרצה: אסף
חוות דעת - הרצאות:
מלא פוטנציאל להיות מעניין וכייפי אבל אסף כלכך אוהב את התחת של עצמו שזה די הורס את השיעור. היה יכול להיות אחלה הזדמנות לפתח שיחה מעניינת בכל מני נושאים (כל שבוע יש שאלת שבוע ופותחים עליה דיון) אבל מרגיש שאין מקום אמיתי לשתף בכלום. הנוכחות היא חובה אבל זה חרטא זה רק כי בסוף הסמסטר אסף מביא ציון על ההשתתפות בכיתה. הייתי ממליצה פשוט לדבר מספיק כדי שיזכור את השם שלכם ואז מקבלים מאה
בנוסף יש מצגת שלא חייבים לעשות אבל מעלה את הציון הסופי אז למה לא

שם המתרגל/ת: נחמיה
חוות דעת - תרגולים:
לא הלכתי היה מיותר

שעורי הבית:
יש כל שבוע, ובסוף זה 15% מהציון. ממחוזרים לגמרי, אפשר לעשות 99 אחוז עם רפרנסים אבל גם ממש קל לעשות לבד. הם תכלס להגשה בזוגות אבל לא חובה. לנו הסמסטר הייתה בודקת (לא נחמיה) אז דווקא החזירו ציונים די מהר.
השיעורי בית המעצבים באמת זה העבודה על החשבשבת והפרוייקטון. הייתי ממליצה להתחיל את הפרוייקטון כמה שיותר מוקדם (אפילו שבוע 3-4) ולא להשאיר את זה לסוף הסמסטר כשכבר יש עומס ומבחנים על הראש

המבחן:
היה עמוס ממש ולא אפשרי לסיים בשעתיים, נתנו פקטור של 4 נקודות שבאמת היה בדיחה יחסית לממוצע. בתכלס החומר לא מסובך (חוץ מהשבוע של הסתברות שהוא חרא ותמיד מופיע במבחן) אבל פשוט יש מלא חומר, ומותר רק דף נוסחאות אחד אז צריך לכתוב ממש קטן כי באמת יש מלא מידע שצריך למבחן.

השורה התחתונה: קורס חובה חמוד, ואחלה הזדמנות להכיר את האנשים שאיתכם בתואר. המבחן קצת מבאס
כללי
עומס
---
שם המרצה: אסף אברהמי
חוות דעת - הרצאות: נוכחות חובה אבל נחמד לפתוח את השבוע במשהו שהוא לא מתמטיקה. אסף בעיקר אוהב לדבר על עצמו ועל החברה שלו ומכניס את זה לדיון בכל הזדמנות. מעבר לזה ההרצאות נחמדות, לא מעבר. הרצאות האורח של נועם היו אחלה לגמרי.

שם המתרגל/ת: נחמיה ירון
חוות דעת - תרגולים: אחרי שני תרגולים הבנו שהם מיותרים והפסקנו ללכת.

שעורי הבית: הרוב זה העתק הדבק מהמצגת של התרגול רק שמשנים נתונים. אבל שזה לא כמו במצגת זה שבירת ראש. יש גיליון כל שבוע שזה מעיק כי לפעמים יוצא שמקדישים הרבה זמן לקורס יחסית קטן יותר ביחס לשאר.

המבחן: המבחן הפעם היה ארוך ממש ביחס לשנים קודמות ולדעתי גם קשה הרבה יותר. מבאס כי הקורס אמור להעלות את הממוצע אבל בגדול אין מה לדאוג מלעבור את המבחן.

השורה התחתונה: קורס חמוד לסמסטר ראשון בתעשייה וניהול
כללי
עומס","{""חורף 2024-2025"": 77, ""חורף 2023-2024"": 80, ""חורף 2022-2023"": 78, ""חורף 2021-2022"": 76, ""חורף 2020-2021"": 75, ""חורף 2019-2020"": 77, ""אביב 2019"": 79, ""חורף 2018-2019"": 77, ""אביב 2018"": 77, ""חורף 2017-2018"": 81, ""אביב 2017"": 80, ""חורף 2016-2017"": 86, ""אביב 2016"": 82}"
094142,00940142 - תפעול מער' ייצור ושרות,"חיפוש קבוצה בפייסבוק
סריקות מבחנים
קבוצת וואטסאפ/טלגרם

סווג מערכות ייצור, מודלים גרפיים ומתמטיים לייצוג מערכות. עקרונות השיבוץ במשטריPOHS WOLF ו- POHS BOJ. מערכות ייצור המוני ומערכות הרכבה. הדינמיקה של מערכות הייצור: מלאי קריטי וקצב צוואר בקבוק, יחסי הגומלין בין מלאי, קצב תפוקה ומשך שהייה בתהליך. משטר HSUP לעומת PRM - LLUP ו- .II PRM ,NABNAK ,PIWNOC ,RBD",3.5,"[[""00940139"", ""00940312"", ""00940314""]]",02-02-2026,05-03-2026,2.5,2.0,"שם המרצה: בוריס
חוות דעת - הרצאות:
הרצאות ממש משעממות
שם המתרגל/ת: אירנה
חוות דעת - תרגולים: מתרגלת מעולה ומקצועית

שעורי הבית: ניתן לרפרנס ומקבלים 100 על ההגשה, חוץ מ2 גיליונות שהם לבדיקה מלאה והם חדשים כל סמסטר

המבחן:
קשה ולא הוגן. בוריס לא מפרסם מבחנים ישנים ובטח לא את הפתרונות. ממוצע די נמוך לקורס לא קשה בכלל.
השורה התחתונה: אם לא חובה אין סיבה לקחת.
כללי
עומס
---
שם המרצה: בוריס
חוות דעת - הרצאות: נחמדות, בוריס קצת מונוטוני וקשה לשמור על ריכוז למשך כל ה3 שעות אבל סך הכל זה סביר.

שם המתרגל/ת: אירנה
חוות דעת - תרגולים: מתרגלת בסדר, לא מעבירה הרבה מעבר למה שעושים בהרצאה, פשוט פותרת תרגיל ארוך בנושא ההרצאה.

שעורי הבית: 10 גליונות, רק 2 לבדיקה מלאה, כל השאר בינארי על הגשה. רובם לא קשים במיוחד. לרוב יש רפרנסים.

המבחן: מזעזע!
לא תואם לרמה שנלמדה בכלל. שיעורי הבית והתרגולים לא משקפים את רמת הבחינה. ארוך מאוד ואין באמת סיכוי שנסיים אותו ב3 שעות.

השורה התחתונה: לצערי לא מומלץ. במהלך הסמסטר הקורס בסדר גמור לא מעיק מידי ויחסית מעניין. אבל המבחן פשוט רע!
כללי
עומס
---
שם המרצה: בוריס
חוות דעת - הרצאות:
מצאנו הקלטות. הרצאות סבבה. אפשר לראות בכייף על 1.5 ולעצור אם יש משהו חשוב .

שם המתרגל/ת: אירנה
חוות דעת - תרגולים: מצאנו הקלטות. ראיתי מוקלט
מתמצת את החומר


שעורי הבית: רפרנסים ונהנים. יש גליונות לבדיקה שהם ממבחני עבר וחלק לא לבדיקה

המבחן: היה קשה מאוד אבל נבדק ברחמנות

השורה התחתונה: סבבי לא לפחד יהיה בסדר
כללי
עומס
---
שם המרצה: בוריס
חוות דעת - הרצאות: בוריס איש נחמד מאוד אבל לצערי היה לי קשה להישאר ערה מול ההקלטות שלו. פשוט מונוטוני מאוד ולא ברור למה לומדים את מה שלומדים. אבל! זה עניין של טעם אישי

שם המתרגל/ת: אירנה
חוות דעת - תרגולים: אירנה די מחזיקה את הקורס על כתפיה, התרגולים מאוד תמציתיים אבל אירנה עצמה אכפתית ומוכנה לעזור.

שעורי הבית: לא עמוסים בכלל, שתי הגשות חובה בלי רפרנס (בדיקה רחמנית) וכל השאר גם עם רפרנס וגם ציון בינארי על ההגשה.

המבחן: קשה עד מוות. אין מבחני עבר ללמוד מהם. לא ברור איך אבל הוצאתי בו ציון טוב, מה שמראה לדעתי שהדבר המרכזי החשוב הוא להסתמך על דף הנוסחאות של אדוה ויונטה ולנסות לחרטט בביטחון.

השורה התחתונה: לא לקחת אם לא חייבים, קורס די משמים. אבל הצוות אכפתי.
כללי
עומס
---
שם המרצה: בוריס
חוות דעת - הרצאות: פחות מונוטוני בפרונטלי מאשר בהקלטות, אז כדאי לבוא פרונטלי. מרצה מצויין ורואים שהוא אוהב את החומר שאותו הוא מלמד.

שם המתרגל/ת: אירנה
חוות דעת - תרגולים: מתרגלת מעולה ואכפתית.

שעורי הבית: גיליונות שבועיים לא קשים במיוחד. עזרו להבנת החומר ורק שניים מתוכם לבדיקה מלאה. אם ממש רוצים יש רפרנס.

המבחן: מבחן מאכזב לצערי. אין מבחני עבר ללמוד מהם כל כך, כך שלא מאוד ידענו למה לצפות, אבל גם מה שכן נחשפנו אליו לא הכין אותנו למבחן. לאתגר את הסטונדטים זה משהו אחד אבל להכניס לכל נושא בבת אחת את כל המקרים המיוחדים שיכולים להיות זה רמה אחרת לגמרי. בטח לא ברמת שיעורי הבית וכל מה שעשינו לאורך כל הסמסטר. נקווה לפקטור.

השורה התחתונה: הסגל מקסים ובאמת נהניתי מהחומר הנלמד אבל המבחן הרס את כל הקורס בעיניי וחבל ממש :(
כללי
עומס","{""חורף 2024-2025"": 70, ""חורף 2023-2024"": 71, ""חורף 2022-2023"": 73, ""חורף 2021-2022"": 71, ""אביב 2021"": 69, ""חורף 2020-2021"": 67, ""אביב 2020"": 73, ""חורף 2019-2020"": 67, ""אביב 2019"": 72, ""חורף 2018-2019"": 78, ""חורף 2017-2018"": 76, ""אביב 2017"": 76}"
094170,00940170 - שיטות בהנדסת תעשיה,"חיפוש קבוצה בפייסבוק
סריקות מבחנים
קבוצת וואטסאפ/טלגרם

הקורס דן במגוון שיטות בהנדסת תעשיה. ילמדו טכניקות לחקר תהליכים והצגתם, מדידת עבודה, ניהול רזה, שש סיגמא, פיתוח זריז של תוכנה, ארגונומיה ועקרונות תכנון מוצר. ינתן דגש על יישום השיטות השונות בעזרת אמצעים מתקדמים הכוללים איסוף נתונים אוטומטי בעזרת חיישנים ושימוש באלגוריתמים ומערכות לומדות לצורך ניתוח הנתונים.",3.5,"[[""00940423"", ""01140051""], [""01140051"", ""00940424""]]",12-02-2026,08-03-2026,3.5,3.0,"שם המרצה: שלומי
חוות דעת - הרצאות: רלוונטיות ומעניינות

שם המתרגל/ת: רועי אשור

המבחן: פייר

השורה התחתונה: הקורס התנהל בצורה קצת מבולגנת אבל סה''כ מעניין ומובן
כללי
עומס
---
שם המרצה: שלומי לויפר
חוות דעת - הרצאות: אוי שלומי שלומי

קחו מלא חומר שלאו דווקא קשור אחד לשני ותסתדרו
בן אדם מעניין וניכר שהוא בעל עניין רב בחומר הקורס
אבל קשה מאוד להבין אותו , הרצאות מבולגנות ועמוסות בחומר שמועבר ללא הסבר מהבסיס , מניח הרבה ידע מוקדם שלא לכל הסטודנטים יש

שם המתרגל/ת: למא
חוות דעת - תרגולים: מקסימה , תמיד שם בשביל הסטודנטים

שעורי הבית: 4 גליונות ארוכים אבל לא נוראים בכלל
פרויקט מתגלגל לאורך הסמסטר

המבחן: עוד לא היה ואין לי מושג איך הוא הולך להראות ומה אני צריך ללמוד לקראתו

השורה התחתונה:
חלק מהקורס מרגיש מאוד מאוד טרויאלי ברמה של למה אנחנו צריכים ללמוד את זה בכלל וחלק מהקורס מעניין ומאיר
קורס נחמד
כללי
עומס
---
שם המרצה: שלומי לויפר
חוות דעת - הרצאות:
ארוכות ועמוסות...קשה לעקוב אחרי המרצה ולהבין מה צריך להסיק מזה.... אבל במבחן הוא יכול לשאול על כל מילה שהוא אמר אז כדאי מאוד לוודא שיש מישהו שעומד בקצב ומסכם
שם המתרגל/ת: למא
חוות דעת - תרגולים:
בעיקר מתעסקים בפרויקט, מאוד עוזרים..
שעורי הבית:
מעט שיעורי בית שמבוססים על שאלות ממבחנים..
יש פרויקט לאורך הקורס שבתכלס די המצאנו את כל הנתונים ואז לא נדרשת יותר מידי השקעה
המבחן:
סטנדרטי...לא מסובך מידי..
השורה התחתונה: קורס עם ציון סבבה שלא צריך להשקיע בו יותר מידי
כללי
עומס
---
שם המרצה: ד""ר שלומי לויפר
שם המתרגל/ת: למא וותד
חוות דעת - תרגולים: מתרגלת מעולה. באה לקראת הסטודנטים. רואים שהיא מבינה את החומר ומסבירה אותו בצורה מעולה ומעניינת.

שעורי הבית: בנוסף לתרגילי הבית, יש פרויקט מתגלגל לאורך הסמסטר. הפרויקט מאוד עמוס.

המבחן: לא קשה. חשוב לא לפספס אף נושא שנלמד בהרצאות כי הוא יכול להופיע במבחן.
כללי
עומס
---
שם המרצה: שלומי לויפר
חוות דעת - הרצאות: מתחלק לחלקים נחמדים וחלקים שממש מרגיש שאין טעם לבזבז עליהם זמן. שלומי נחמד מאוד, אבל קשה להתרכז בהרצאה שלו 3 שעות.

שם המתרגל/ת: למא
חוות דעת - תרגולים: למא מקסימה! מסבירה הכל ברור ועונה על כל השאלות. ממש נחמד בשיעורים שלה. מאוד באה לקראתנו וגמישה לגבי בקשות.
עזרה מאוד בפרוייקט.

שעורי הבית: 5 בסמסטר, לא עמוסים מידי אבל לא תמיד ברורים. יש פרוייקט במהלך הסמסטר שמאוד מעמיס. מרגיש שיש המון לעשות בכל פרק ויש זמני הגשה יחסית קצרים כי יש כמה פרקים להגיש.

המבחן: יחסית הוגן.

השורה התחתונה: קורס נחמד מאוד, אם לא היה את הפרוייקט היה באמת קורס קליל.
כללי
עומס
---
שם המרצה: שלומי
חוות דעת - הרצאות: לפעמים מעניינות, לפעמים לא רלוונטיות כל כך. שלומי עבר על המצגות בפעם הראשונה מולנו אז יצא שהוא דילג על הרבה.

שם המתרגל/ת: למא
חוות דעת - תרגולים: מושלמת!! מעבירה את החומר באופן ברור ותמיד השקיעה 100%.

שעורי הבית: יש 5 תרגילי בית שהם סבבה לגמרי, וגם פרויקט מתמשך. את שניהם עושים בשלישיות. הפרויקט קצת מעצבן כי הוא דורש עבודה בעסק/מפעל, אבל כל עוד השקעת למא נתנה ציון טוב. לקראת ההגשות יותר עמוס.

המבחן: ארוך ולא הכי ברור, ואין מספיק מבחני עבר ללמוד מהם. אבל לא קשה במיוחד.

השורה התחתונה: אני חשבתי שהקורס מעניין ואחלה.
כללי
עומס
---
שם המרצה: שלומי
חוות דעת - הרצאות: שלומי מרצה ממש מונוטונית. לא הגעתי כמעט להרצאות ובדיעבד חשוב ממש להגיע. בבחינה בחנו על מלא שטויות קטנות שהיו רשומות במצגת והוא הסביר בעל פה ולא היה על זה תרגול.

שם המתרגל/ת: למא
חוות דעת - תרגולים: היא תגיד שהיא זמינה במייל אז תדעו שהיא לא. היא יודעת להסביר אבל לא היו תרגולים על כל החומר שנלמד בהרצאות וזה הקשה בלמידה למבחן.

שעורי הבית: לא קשים מידי, חשובים כדי להבין את החומר שמלמדים. יש פרויקט עצום, אנחנו לא הבנו את סדר הגודל שלו עד שהתחלנו לעבוד עליו. הוא דרש המוןןןןןן זמן והמון תשומת לב, דורש ללכת כמה פעמים למפעל/מקום שאתם רוצים לשפר תהליך כלשהו בו. בסוף הציונים על ההגשות הם סבירים.

המבחן: מבחני עבר היו ממש סבירים אבל משהו השנה השתנה. הייתה שאלה לא פתירה. האמריקאי בוחן על כל פיפס ששלומי אי פעם אמר בהרצאה.

השורה התחתונה: קורס לא באמת מלמד, לא יצאתי עם שיטות בהנדסת תעשייה שישמשו אותי בפועל בחיים.
כללי
עומס
---
שם המרצה: שלומי
חוות דעת - הרצאות: שלומי הוא מרצה טוב בסה""כ אבל החומר פשוט יותר מדי מפוזר, לומדים הרבה נושאים בפרק זמן קצר, לדעתי להתמקד בכמות נושאים קטנה יותר היה פשוט יותר מלמד.

שם המתרגל/ת: למא
חוות דעת - תרגולים: יש בתרגולים חזרה טובה על נושאים מרכזיים בחומר, אבל עיקר הזמן היה על הפרויקט, שזה טוב לדעתי כי זה עזר לכוון מה בדיוק לעשות ואיך. ממליצה להיעזר בלמא כמה שיותר בפרויקט.

שעורי הבית: 5 שיעורי בית בזוגות עם רפרנס + פרויקט מחולק ל-3 חלקים. הפרויקט כן עמוס במידה מסוימת ודורש לחקור תהליך במקום עבודה, אבל הוא נפרש על רוב הסמסטר וזה לא מאוד לחוץ בזמן.

המבחן: קצת מאתגר ללמוד למבחן כי יש המון חומר ויש מבחני עבר ללא פתרון (חוץ מאחד יחסית ישן). צריך לזכור את החומר די לדקויות אבל סה""כ המבחן היה הוגן.
כללי
עומס","{""חורף 2024-2025"": 83, ""חורף 2023-2024"": 84, ""חורף 2022-2023"": 85, ""חורף 2021-2022"": 85, ""חורף 2020-2021"": 87, ""חורף 2019-2020"": 83}"
094198,00940198 - אירועים בהנדסת תעשיה,"חיפוש קבוצה בפייסבוק
סריקות מבחנים
קבוצת וואטסאפ/טלגרם

ניתוח ארועים בשטחי הנדסת תעשיה תוך כדי שימוש בטכניקות השונות המקובלות בשטחים אלה. הארועים יוצגו בשני שלבים: א. הצגת הבעיה וניתוחה. ב. סקירת הדרכים האפשריות לפתרון. הסטודנטים יצטרכו לבחור את דרך הפתרון ולהגיש לכל ארוע דו""ח מפורט הכולל את ניתוח הבעייה, דרך תקיפתה והמלצות.",3.5,"[[""00950140""], [""00950139""]]",,,2.5,4.0,"שם המרצה: דר חוסיין
חוות דעת - הרצאות:
דורש השתתפות בהרצאות
שעורי הבית:
4 פרויקטונים מאוד מתישים.
המבחן:
אין
כללי
עומס
---
שם המרצה: חוסיין
חוות דעת - הרצאות: הרצאות שלא מועילות לעבודות הגשה. השתתפות חובה בהרצאה, ממש דורשים מכל המשתתפים לדבר.

שם המתרגל/ת: אין
שעורי הבית: עבודות מזעזעות, מתישות, לא ברורות, צריך לשבור את הראש. חובה לחפש רפרנסים כדי להצליח לקבל ציונים טובים, אבל גם זה לא מספיק כי בכל עבודה המרצה מכניס סעיפים חדשים.

המבחן: אין.

השורה התחתונה: לא לקחת את הקורס אם יש אפשרות, קורס מתיש ולא מתגמל.
כללי
עומס","{""אביב 2022"": 85, ""חורף 2021-2022"": 87, ""אביב 2021"": 83, ""חורף 2020-2021"": 88}"
